"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
"","en","","The Addicts","Text","1379","51240","234","https://www.gutenberg.org/ebooks/51240","1906","1980","Samachson, Joseph","17","February 17, 2016","2","February","2016","8","text/plain,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","7.5","9.38","6.74","563","4.8","83.66","7.2","5.5","3.1","0.09122868543493541","0.5539778795278799","4.75","13.0","0.08","17152","91","274","4848.3","3614"
"PR","en","Challenger, Professor (Fictitious character) -- Fiction;Fantasy fiction;Prehistoric peoples -- Fiction;Dinosaurs -- Fiction;South America -- Fiction","The Lost World","Text","1378","139","235","https://www.gutenberg.org/ebooks/139","1859","1930","Doyle, Arthur Conan","19","June 19, 2008","6","June","2008","7","text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain","9.7","9.86","6.22","8371","7.6","71.14","8.8","11.0","3.1","0.07634689491409588","0.48508208018969845","4.73","17.0","0.06","358664","1966","4259","103773.6","75759"
"PS","en","Mississippi River -- Description and travel;Mississippi River Valley -- Social life and customs -- 19th century;Authors, American -- 19th century -- Biography;Pilots and pilotage -- Mississippi River;Twain, Mark, 1835-1910 -- Travel -- Mississippi River","Life on the Mississippi","Text","1368","245","236","https://www.gutenberg.org/ebooks/245","1835","1910","Twain, Mark","20","August 20, 2006","8","August","2006","7","image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","11.4","10.5","6.34","15660","8.7","68.1","10.0","2.5","3.1","0.08813787521241054","0.4565427618891448","4.79","20.0","0.05","691132","4369","7009","197305.2","144374"
"B","en","Ethics;Knowledge, Theory of","An Enquiry Concerning Human Understanding","Text","1350","9662","237","https://www.gutenberg.org/ebooks/9662","1711","1776","Hume, David","1","January, 2006","1","January","2006","8","application/rdf+xml,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook","18.5","13.01","6.77","5852","14.2","48.47","14.4","4.0","8.8","0.09556415926297585","0.47618840202705703","5.12","31.0","0.03","296154","3345","1822","89534.7","57801"
"","en","","The Marching Morons","Text","1349","51233","238","https://www.gutenberg.org/ebooks/51233","1923","1958","Kornbluth, C. M. (Cyril M.)","16","February 16, 2016","2","February","2016","7","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/rdf+xml,application/epub+zip,text/plain","9.7","12.06","7.5","2255","6.0","75.2","7.2","5.0","3.1","0.08834073629032801","0.48487265403063917","5.16","13.0","0.07","57058","466","810","15806.7","11054"
"PQ","en","Plague -- Europe -- History -- Fiction,Allegories,Frame-stories,Storytelling -- Fiction","The Decameron of Giovanni Boccaccio","Text","1339","23700","239","https://www.gutenberg.org/ebooks/23700","1313","1375","Boccaccio, Giovanni","3","December 3, 2007","12","December","2007","9","image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","22.3","10.81","6.68","17717","17.7","44.75","19.200000000000003","9.0","3.1","0.18166130226146168","0.5190554120228744","4.69","43.0","0.02","1442516","6455","7101","415779.3","307841"
"HQ","en","Women's rights -- Great Britain,Women -- History -- 19th century,Women -- Education -- Great Britain,Feminism","A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects","Text","1339","3420","240","https://www.gutenberg.org/ebooks/3420","1759","1797","Wollstonecraft, Mary","1","September, 2002","9","September","2002","6","text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain","19.3","12.72","6.94","9116","15.0","46.44","15.200000000000001","5.0","8.8","0.11309840367224837","0.5240286068222014","5.07","33.0","0.03","438290","4087","2560","129982.5","86456"
"PS","en","Africa -- Fiction,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Wild men -- Fiction,British -- Africa -- Fiction,Adventure stories","Tarzan of the Apes","Text","1336","78","241","https://www.gutenberg.org/ebooks/78","1875","1950","Burroughs, Edgar Rice","23","June 23, 2008","6","June","2008","7","text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook","11.4","10.73","6.06","7727","8.7","68.1","10.0","53.0","3.1","0.07473859659261137","0.48893439915853887","4.83","20.0","0.05","412646","1822","4234","116465.4","85520"
"HV","en","Lynching","Southern Horrors: Lynch Law in All Its Phases","Text","1333","14975","242","https://www.gutenberg.org/ebooks/14975","1862","1931","Wells-Barnett, Ida B.","8","February 8, 2005","2","February","2005","7","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","12.6","11.31","7.43","1687","10.3","58.62","10.4","11.5","3.1","0.0381264150498412","0.41374366318373623","4.93","21.0","0.05","47665","398","448","14031.0","9664"
"PG","en","Russia -- Social life and customs -- Drama,Country life -- Russia -- Drama,Russian drama -- Translations into English,Families -- Russia -- Drama","Uncle Vanya: Scenes from Country Life in Four Acts","Text","1333","1756","243","https://www.gutenberg.org/ebooks/1756","1860","1904","Chekhov, Anton Pavlovich","1","May, 1999","5","May","1999","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","6.1","8.62","6.01","1902","4.0","85.69","6.4","14.0","3.1","0.05659511237563874","0.5494429115745127","4.67","11.0","0.09","76783","347","1495","21947.4","16449"
"PQ","en","Philippines -- History -- 1812-1898 -- Fiction,Historical fiction","The Social Cancer: A Complete English Version of Noli Me Tangere","Text","1333","6737","244","https://www.gutenberg.org/ebooks/6737","1861","1896","Rizal, Jose","17","June 17, 2007","6","June","2007","9","image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","11.2","11.26","6.13","17329","8.3","69.11","9.600000000000001","8.5","3.1","0.07850745367911736","0.4758420130712635","4.92","19.0","0.05","864628","5781","9251","248754.6","175846"
"PQ","en","Giants -- Fiction;Fantasy fiction, French -- Translations into English;Gargantua (Legendary character) -- Fiction","Gargantua and Pantagruel","Text","1328","1200","245","https://www.gutenberg.org/ebooks/1200","0","0","Rabelais, Francois","8","August 8, 2004","8","August","2004","7","image/jpeg,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook","15.1","11.09","6.6","32916","11.5","60.99","12.8","5.5","3.1","0.146353827142644","0.5080541682189238","4.84","27.0","0.04","1548310","9558","11605","443115.0","319655"
"BV","en","Spirituality,God (Christianity) -- Worship and love","The Pursuit of God","Text","1328","25141","246","https://www.gutenberg.org/ebooks/25141","1897","1963","Tozer, A. W. (Aiden Wilson)","23","April 23, 2008","4","April","2008","8","text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","10.0","9.4","6.47","3498","8.3","69.11","9.600000000000001","8.5","3.1","0.11572133708240111","0.4768617989070636","4.6","19.0","0.05","134387","795","1501","39607.2","29217"
"KF,JK","en","Constitutional law -- United States,Constitutional history -- United States -- Sources","The Federalist Papers","Text","1327","1404","247","https://www.gutenberg.org/ebooks/1404","1745","1829","Jay, John","1","July, 1998","7","July","1998","8","text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","19.2","13.24","6.25","12556","15.8","39.0","14.8","15.5","11.2","0.10619526352642564","0.45126228123323703","5.16","32.0","0.03","991913","14140","5901","303713.1","192349"
"PR","en","Fiction -- Authorship -- Fiction,Infants -- Fiction,Fetus -- Fiction,Experimental fiction,Stream of consciousness fiction","The Life and Opinions of Tristram Shandy, Gentleman","Text","1326","1079","248","https://www.gutenberg.org/ebooks/1079","1713","1768","Sterne, Laurence","1","October, 1997","10","October","1997","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","19.5","12.08","7.28","21613","14.6","52.87","16.0","18.0","8.8","0.1145691664755748","0.47425201895906327","4.96","35.0","0.03","886874","6319","5096","250581.6","178843"
"PR","en","Erotic literature;Heidegger, John James, 1659?-1748;Penis -- Poetry","The Ladies Delight","Text","1322","14005","249","https://www.gutenberg.org/ebooks/14005","0","0","Anonymous","10","November 10, 2004","11","November","2004","7","text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","25.2","12.84","9.02","972","17.3","51.18","20.0","6.5","3.1","0.20972126173384031","0.5171780548824576","5.04","45.0","0.02","24516","55","106","6429.6","4863"
"DG","en","Rome -- History -- Empire, 30 B.C.-284 A.D.;Emperors -- Rome -- Biography -- Early works to 1800","The Lives of the Twelve Caesars, Complete","Text","1317","6400","250","https://www.gutenberg.org/ebooks/6400","0","0","Suetonius","22","October 22, 2006","10","October","2006","7","text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","16.7","12.49","6.44","20876","13.0","51.52","13.200000000000001","8.0","8.8","0.10777752741685483","0.45940787683969164","5.03","28.0","0.03","1173111","9332","8098","342845.1","233339"
"PS,E660","en","West (U.S.) -- Description and travel;West (U.S.) -- Intellectual life -- 19th century;Authors, American -- Homes and haunts -- West (U.S.);Twain, Mark, 1835-1910 -- Travel -- West (U.S.)","Roughing It","Text","1313","3177","251","https://www.gutenberg.org/ebooks/3177","1835","1910","Twain, Mark","18","August 18, 2006","8","August","2006","7","image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain","12.8","10.91","6.49","17982","9.9","65.05","11.200000000000001","8.5","3.1","0.07437028832112355","0.4775006106305633","4.81","23.0","0.04","798587","5364","7156","230879.7","166160"
"PS","en","Science fiction,War stories,Robots -- Fiction","Second Variety","Text","1308","32032","252","https://www.gutenberg.org/ebooks/32032","1928","1982","Dick, Philip K.","17","April 17, 2010","4","April","2010","7","image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain","6.0","9.47","5.82","1772","2.5","89.75","4.800000000000001","5.0","3.1","-0.0006629284979490793","0.42875313563886014","5.02","7.0","0.13","76487","197","2021","20152.8","15237"
"","en","","Bridge Crossing","Text","1308","51241","253","https://www.gutenberg.org/ebooks/51241","1915","2003","Dryfoos, Dave","17","February 17, 2016","2","February","2016","8","image/jpeg,text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain","7.9","10.66","7.16","914","5.2","77.23","6.4","5.0","3.1","0.02917997241196132","0.49870049490739166","4.97","11.0","0.08","24095","97","407","6589.8","4852"
"PJ","en","Tales -- Arab countries,Fairy tales","The Thousand and One Nights, Vol. I.: Commonly Called the Arabian Nights' Entertainments","Text","1307","34206","254","https://www.gutenberg.org/ebooks/34206","0","0","Unknown","3","November 3, 2010","11","November","2010","9","image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,text/plain; charset=utf-8,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","14.6","10.68","6.08","18372","11.5","60.99","12.8","17.0","3.1","0.10460990692900307","0.4489104404958306","4.77","27.0","0.04","1253534","6782","9692","358387.2","262842"
"B","en","Philosophy and religion,Happiness","The Consolation of Philosophy","Text","1306","14328","255","https://www.gutenberg.org/ebooks/14328","480","524","Boethius","11","December 11, 2004","12","December","2004","8","text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","13.2","11.61","6.81","5627","9.5","66.07","10.8","7.5","3.1","0.14021301470800654","0.526351358264999","4.93","22.0","0.04","210578","1322","1877","59319.0","42688"
"CR","en","Heraldry -- Great Britain","A Complete Guide to Heraldry","Text","1306","41617","256","https://www.gutenberg.org/ebooks/41617","1871","1928","Fox-Davies, Arthur Charles","13","December 13, 2012","12","December","2012","8","application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain","15.6","12.36","6.17","21310","11.1","62.01","12.4","7.0","8.8","0.053434836123623944","0.414526607085762","5.06","26.0","0.04","1366469","10886","10203","384529.5","270070"
"PZ,PT","de","Children's poetry, German;Practical jokes -- Juvenile poetry;Wit and humor","Max und Moritz: Eine Bubengeschichte in sieben Streichen","Text","1302","17161","257","https://www.gutenberg.org/ebooks/17161","1832","1908","Busch, Wilhelm","21","December 21, 2005","12","December","2005","7","application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/pdf,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","13.7","17.1","7.57","537","5.6","76.22","6.800000000000001","7.5","3.1","0.7333333333333333","0.6733333333333333","6.08","12.0","0.08","15431","123","196","3434.4","2540"
"PA,PN","en","Aesthetics -- Early works to 1800,Poetry -- Early works to 1800","The Poetics of Aristotle","Text","1300","1974","258","https://www.gutenberg.org/ebooks/1974","-384","-322","Aristotle","1","November, 1999","11","November","1999","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","13.0","11.67","7.14","2307","10.7","57.61","10.8","8.5","3.1","0.08152508394335642","0.4605388289541757","4.94","22.0","0.04","74594","659","676","22528.8","15111"
"PT","en","Norwegian drama -- Translations into English","Ghosts","Text","1295","8121","259","https://www.gutenberg.org/ebooks/8121","1828","1906","Ibsen, Henrik","1","May, 2005","5","May","2005","8","text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain","7.0","9.84","5.96","2807","3.7","86.71","6.0","8.0","3.1","0.08620252454020204","0.5133341453191913","4.88","10.0","0.09","118219","460","2234","31847.4","24250"
"PZ","en","Children -- Conduct of life -- Juvenile fiction;Children's stories, German -- Translations into English;Children's poetry, German -- Translations into English;Stories in rhyme;Picture books for children;Behavior -- Fiction","Struwwelpeter: Merry Stories and Funny Pictures","Text","1290","12116","260","https://www.gutenberg.org/ebooks/12116","1809","1894","Hoffmann, Heinrich","23","April 23, 2004","4","April","2004","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain","9.6","9.97","6.25","265","5.2","88.06","8.8","8.0","3.1","0.0014682547368982","0.5560960579824218","4.75","17.0","0.06","11231","13","136","2847.6","2362"
"PS","en","Human-alien encounters -- Fiction,Science fiction","Youth","Text","1287","31547","261","https://www.gutenberg.org/ebooks/31547","1920","1992","Asimov, Isaac","7","March 7, 2010","3","March","2010","7","text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain","6.6","9.89","6.24","1376","3.3","87.72","5.6000000000000005","4.5","3.1","0.047899235076791884","0.4687500649602914","4.94","9.0","0.1","49777","323","1057","13467.6","10067"
"PR","en","India -- History -- British occupation, 1765-1947 -- Fiction;British -- India -- Fiction","Plain Tales from the Hills","Text","1284","1858","262","https://www.gutenberg.org/ebooks/1858","1865","1936","Kipling, Rudyard","1","August, 1999","8","August","1999","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","10.2","10.33","6.43","8643","7.9","70.13","9.200000000000001","28.0","3.1","0.0667783618143388","0.47963180558942303","4.76","18.0","0.05","340924","1853","3895","96805.8","71634"
"PR","en","Mentally ill -- Fiction,Science fiction,Scientists -- Fiction,Psychological fiction","The Invisible Man: A Grotesque Romance","Text","1283","5230","263","https://www.gutenberg.org/ebooks/5230","1866","1946","Wells, H. G. (Herbert George)","7","October 7, 2004","10","October","2004","7","text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","8.1","10.26","6.21","5919","4.8","83.66","7.2","6.5","3.1","0.010355562539027576","0.4796150926675718","4.85","13.0","0.07","235353","1387","3601","65285.1","48484"
"B","en","Utilitarianism","Utilitarianism","Text","1282","11224","264","https://www.gutenberg.org/ebooks/11224","1806","1873","Mill, John Stuart","22","February 22, 2004","2","February","2004","7","application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain","21.6","12.37","7.53","3509","16.9","41.37","17.2","7.5","11.2","0.13449384798082775","0.4812294951931448","5.01","38.0","0.03","138340","1745","709","42696.0","27608"
"PC","pt","Portuguese language -- Dictionaries","Novo dicionário da língua portuguesa","Text","1277","31552","265","https://www.gutenberg.org/ebooks/31552","1846","1925","Figueiredo, Candido de","2","April 2, 2010","4","April","2010","7","text/html,text/plain; charset=utf-8,application/pdf,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","14.5","19.9","6.97","331402","7.2","55.91","4.800000000000001","16.5","3.1","-0.02525085152612697","0.5900803627681349","6.87","7.0","0.14","12051675","201302","243657","2952951.3","1753991"
"PR","en","Short stories, English;Humorous stories;Supernatural -- Fiction","Beasts and Super-Beasts","Text","1276","269","266","https://www.gutenberg.org/ebooks/269","1870","1916","Saki","26","December 26, 2011","12","December","2011","6","text/html,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","11.9","11.49","6.83","8800","8.3","69.11","9.600000000000001","10.5","3.1","0.07486095345227053","0.4851303000327079","4.96","19.0","0.05","305894","2222","3109","88214.4","61732"
"","en","","The History of Prostitution: Its Extent, Causes, and Effects throughout the World","Text","1267","41873","267","https://www.gutenberg.org/ebooks/41873","0","0","Sanger, William W.","19","January 19, 2013","1","January","2013","9","image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","15.4","13.64","6.14","24144","11.1","56.59","11.200000000000001","8.5","8.8","0.07605734599134142","0.4545027524696375","5.28","23.0","0.04","1471906","17359","11649","428318.1","278921"
"PQ","en","Science fiction;Earth (Planet) -- Core -- Fiction;Voyages, Imaginary -- Fiction;Adventure stories","A Journey to the Centre of the Earth","Text","1263","18857","268","https://www.gutenberg.org/ebooks/18857","1828","1905","Verne, Jules","18","July 18, 2006","7","July","2006","8","text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","9.9","10.84","6.08","8965","7.2","72.16","8.4","13.0","3.1","0.09606430206735532","0.5413802061773928","4.9","16.0","0.06","419936","3084","5180","122377.5","85773"
"Z","en","Classification, Dewey decimal","A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library","Text","1244","12513","269","https://www.gutenberg.org/ebooks/12513","1851","1931","Dewey, Melvil","4","June 4, 2004","6","June","2004","8","text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","18.5","18.22","8.29","3518","9.5","66.07","10.8","12.0","11.2","0.06156291119883348","0.27628967891290523","6.07","22.0","0.04","94731","1577","687","22445.1","15596"
"HB","en","Sociology,Leisure class","The Theory of the Leisure Class","Text","1244","833","270","https://www.gutenberg.org/ebooks/833","1857","1929","Veblen, Thorstein","1","March, 1997","3","March","1997","8","text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","20.2","13.94","6.51","8251","16.2","37.98","15.200000000000001","20.0","13.0","0.10655253893771062","0.4459527033941097","5.28","33.0","0.03","556401","9667","3144","173621.7","105351"
"PR","en","Great Britain -- History -- Richard I, 1189-1199 -- Fiction;Knights and knighthood -- Fiction;Normans -- Great Britain -- Fiction;Triangles (Interpersonal relations) -- Fiction;Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction;Jews -- England -- Fiction;Anglo-Saxons -- Fiction;Historical fiction;Love stories","Ivanhoe: A Romance","Text","1241","82","271","https://www.gutenberg.org/ebooks/82","1771","1832","Scott, Walter","1","September, 1993","9","September","1993","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","15.5","11.84","6.53","18875","11.5","60.99","12.8","11.0","3.1","0.12264162039611225","0.5095732547210746","4.97","27.0","0.04","951286","5260","7062","268434.0","191430"
"PQ","en","France -- History -- Louis XI, 1461-1483 -- Fiction;Paris (France) -- History -- To 1515 -- Fiction;Historical fiction;People with disabilities -- Fiction;Clergy -- Fiction;Romances;Notre-Dame de Paris (Cathedral) -- Fiction","Notre-Dame De Paris","Text","1239","2610","272","https://www.gutenberg.org/ebooks/2610","1802","1885","Hugo, Victor","1","April, 2001","4","April","2001","8","application/rdf+xml,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook","10.9","11.13","6.08","18137","7.9","70.13","9.200000000000001","17.5","3.1","0.084776225813325","0.502663933543448","4.95","18.0","0.06","912590","5317","10206","258438.6","184390"
"DS","en","Rizal, José, 1861-1896","Lineage, Life and Labors of José Rizal, Philippine Patriot","Text","1239","6867","273","https://www.gutenberg.org/ebooks/6867","1872","0","Craig, Austin","18","June 18, 2004","6","June","2004","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","17.2","12.95","7.21","8484","13.4","50.5","13.600000000000001","15.5","8.8","0.11244464433621189","0.4365312973989081","5.11","29.0","0.03","320812","3307","2148","95508.9","62725"
"PR","en","Private investigators -- England -- Fiction;Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction","The Valley of Fear","Text","1230","3289","274","https://www.gutenberg.org/ebooks/3289","1859","1930","Doyle, Arthur Conan","1","June, 2002","6","June","2002","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain","7.4","8.98","5.91","5759","5.2","82.65","7.6000000000000005","8.0","3.1","0.08415965641929782","0.4874378667344549","4.63","14.0","0.07","266455","1051","4101","75433.5","57508"
"PR","en","Science fiction,Animal experimentation -- Fiction,Islands -- Fiction,Shipwreck survival -- Fiction","The Island of Doctor Moreau","Text","1229","159","275","https://www.gutenberg.org/ebooks/159","1866","1946","Wells, H. G. (Herbert George)","14","October 14, 2004","10","October","2004","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","8.8","9.97","6.27","5225","6.8","73.17","8.0","2.5","3.1","-0.010118738480413897","0.4619258573733183","4.75","15.0","0.06","206998","1263","2788","59257.8","43581"
"PZ,PR","en","Fantasy","Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson","Text","1229","28885","276","https://www.gutenberg.org/ebooks/28885","1832","1898","Carroll, Lewis","19","May 19, 2009","5","May","2009","9","image/jpeg,text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook","9.5","9.74","5.95","2533","6.4","79.6","8.8","13.0","3.1","0.0367486157591331","0.49801070574772643","4.71","17.0","0.06","128331","384","1551","35064.9","27270"
"","en","","The Man Outside","Text","1218","51337","277","https://www.gutenberg.org/ebooks/51337","1922","2000","Smith, Evelyn E.","1","March 1, 2016","3","March","2016","7","image/jpeg,text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain","9.1","11.19","7.0","1119","6.0","75.2","7.2","6.5","3.1","0.0943261471255169","0.5120225241611799","5.01","13.0","0.07","32572","207","469","9179.1","6497"
"PS","en","United States -- History -- French and Indian War, 1754-1763 -- Fiction;War stories;Adventure stories;Frontier and pioneer life -- Fiction;Mohegan Indians -- Fiction;Historical fiction;Bumppo, Natty (Fictitious character) -- Fiction","The Last of the Mohicans; A narrative of 1757","Text","1215","940","278","https://www.gutenberg.org/ebooks/940","1789","1851","Cooper, James Fenimore","5","February 5, 2006","2","February","2006","8","application/rdf+xml,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain","14.4","11.38","6.2","12382","10.7","63.02","12.0","15.0","3.1","0.07558948264222987","0.49052487327174726","4.89","25.0","0.04","725414","4168","5774","208991.7","148235"
"PZ,PQ","en","Fairy tales,Puppets -- Juvenile fiction,Pinocchio (Fictitious character) -- Juvenile fiction","The Adventures of Pinocchio","Text","1214","500","279","https://www.gutenberg.org/ebooks/500","1826","1890","Collodi, Carlo","12","January 12, 2006","1","January","2006","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","6.8","8.51","5.52","3129","4.8","83.66","7.2","5.0","3.1","0.06280612492679691","0.5228865898337258","4.6","13.0","0.08","183332","326","3032","50501.7","39863"
"PR","en","English essays -- 18th century -- Periodicals","The Spectator, Volumes 1, 2 and 3: With Translations and Index for the Series","Text","1207","12030","280","https://www.gutenberg.org/ebooks/12030","1672","1729","Steele, Richard, Sir","14","April 14, 2004","4","April","2004","9","text/html,text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","17.0","11.27","6.09","55817","13.0","56.93","14.4","5.5","8.8","0.15566740118694306","0.4995369247042093","4.82","31.0","0.03","4618241","31307","30491","1333590.3","957892"
